Date,Text,Label
2023-06-15,just grind mode random whatever travel idk anymore stressed but not sick,non-flu
2023-05-18,ugh feeling bad whatever body ache ugh feeling bad cough omg just just exhausted,flu
2023-11-24,ugh feeling bad maybe just body ache just cough so sneeezing,flu
2023-09-23,workout idk netflix binge random birthday nothing whatever nothing nothing,non-flu
2023-06-14,nothing bruh bruh just chilling so 🔥 nothing mood swings party,non-flu
2023-08-29,birthday maybe bruh maybe text lol tired so birthday,non-flu
2023-05-27,maybe just mood swings maybe birthday nothing just,non-flu
2023-07-14,random just nausea bruh whatever 😷 random tired af seriously overthinking,flu
2023-04-03,sleep deprived omg lol lol tired bruh text,non-flu
2023-08-27,seriously just omg tired af nothing idk fatigue seriously overthinking allergies maybe?,flu
2023-05-18,sneeezing nothing ugh feeling bad text chills seriously seriously,flu
2023-10-11,ugh feeling bad fever just nothing sore throat,flu
2023-04-02,omg bruh text so seriously party lol 🔥,non-flu
2023-03-12,lol seriously 💯 bruh whatever birthday,non-flu
2023-04-01,idk sleep deprived idk grind mode whatever text 💯 brunch just chilling text text,non-flu
2023-03-22,lol tired nothing lol whatever seriously 🔥,non-flu
2023-08-10,mood swings mood swings party nothing nothing,non-flu
2023-11-19,lol bruh so fatigue runny nose text idk,flu
2023-10-02,seriously maybe whatever just allergies maybe? omg chills,flu
2023-04-24,lol seriously random sore throat sneeezing sneeezing text sickkk seriously text,flu
2023-01-23,party maybe lol idk anymore so 💯 stressed but not sick coffee time,non-flu
2023-04-30,whatever bruh 💯 💯 brunch,non-flu
2023-11-12,text just allergies maybe? chills sneeezing,flu
2023-07-04,maybe random 💯 random meeting just idk coffee time just,non-flu
2023-11-23,meh headache nausea lol bruh sore throat so seriously,flu
2023-08-04,lol cough text so fever seriously so just,flu
2023-06-18,bruh lol just chilling maybe 💯,non-flu
2023-08-10,stressed but not sick stressed but not sick lol maybe 🔥 text maybe nothing study grind,non-flu
2023-04-17,brunch travel bruh idk anymore lol tired whatever mood swings,non-flu
2023-03-04,just chilling bruh vacation idk,non-flu
2023-07-19,random bruh cough maybe fatigue so maybe congestn cough nausea,flu
2023-08-07,vacation birthday party stressed but not sick maybe so,non-flu
2023-11-03,fever headache maybe lol fever omg just exhausted headache,flu
2023-01-24,bruh lol tired lol tired just lol workout random,non-flu
2023-03-02,runny nose tired af maybe maybe omg omg random seriously,flu
2023-05-02,meeting bruh lol workout sleep deprived travel,non-flu
2023-09-20,sleep deprived whatever 🔥 stressed but not sick seriously mood swings netflix binge,non-flu
2023-01-17,🔥 seriously coffee time stressed but not sick omg lol idk idk 🔥 💯,non-flu
2023-07-30,💯 whatever idk seriously birthday so brunch mood swings,non-flu
2023-01-06,text just maybe omg omg random runny nose sickkk,flu
2023-02-06,text coffee time sleep deprived 💯 seriously birthday,non-flu
2023-02-01,idk anymore mood swings just omg meeting idk anymore 💯,non-flu
2023-12-09,omg so brunch party bruh whatever party nothing,non-flu
2023-12-03,overthinking idk ugh feeling bad not sure if it's flu fever text lol omg 😷,flu
2023-12-31,idk anymore meeting random meeting whatever sleep deprived so just so travel,non-flu
2023-08-08,seriously idk maybe sickkk cough idk,flu
2023-08-03,whatever whatever overthinking text 😷 bruh whatever ugh feeling bad fever maybe,flu
2023-02-22,cough tired af seriously lol headache text text maybe idk tired af overthinking,flu
2023-03-23,stressed but not sick just bruh brunch idk just bruh,non-flu
2023-03-20,🔥 birthday random just lol seriously party grind mode,non-flu
2023-10-17,chills nausea overthinking lol just so text random fever,flu
2023-01-18,just chilling sleep deprived 💯 random nothing stressed but not sick 💯 text,non-flu
2023-07-20,random birthday meeting meeting grind mode maybe seriously,non-flu
2023-05-30,so vacation omg bruh is this flu? study grind,non-flu
2023-04-04,tired af fatigue nothing nausea headache tired af seriously,flu
2023-03-10,🔥 netflix binge whatever travel just omg nothing lol just stressed but not sick,non-flu
2023-04-26,idk whatever headache bruh congestn,flu
2023-08-28,omg mood swings 💯 idk grind mode coffee time nothing omg netflix binge lol omg,non-flu
2023-04-14,just just brunch is this flu? text lol tired,non-flu
2023-04-06,stressed but not sick lol bruh sleep deprived just chilling nothing party sleep deprived omg idk,non-flu
2023-09-03,omg coffee time omg idk idk nothing random brunch netflix binge,non-flu
2023-01-04,text nothing headache maybe ugh feeling bad congestn just exhausted nothing nothing random,flu
2023-06-07,grind mode lol brunch lol random lol tired,non-flu
2023-05-07,seriously meh nothing sore throat sneeezing 😷 nausea,flu
2023-11-16,nothing text ugh feeling bad runny nose not sure if it's flu tired af sickkk,flu
2023-08-17,meh fever so random allergies maybe? so nausea congestn,flu
2023-03-13,whatever so text bruh just exhausted text sickkk text,flu
2023-11-05,💯 so maybe vacation,non-flu
2023-06-25,text brunch brunch bruh vacation travel coffee time seriously maybe,non-flu
2023-08-11,maybe party idk anymore is this flu? birthday so nothing netflix binge nothing,non-flu
2023-10-15,lol whatever overthinking ugh feeling bad whatever just,flu
2023-06-13,text ugh feeling bad just exhausted tired af just exhausted random whatever text maybe,flu
2023-05-01,just netflix binge is this flu? maybe,non-flu
2023-09-16,tired af sickkk bruh so bruh seriously maybe meh just allergies maybe?,flu
2023-07-13,nothing lol tired random 🔥 💯 random text so whatever just chilling,non-flu
2023-09-06,vacation party party nothing random stressed but not sick,non-flu
2023-01-21,congestn headache nothing whatever tired af random maybe not sure if it's flu text headache,flu
2023-04-29,vacation just sleep deprived text workout workout,non-flu
2023-05-15,lol sickkk fever whatever random runny nose whatever maybe,flu
2023-03-25,maybe sickkk idk random 😷 seriously text seriously,flu
2023-05-11,vacation netflix binge birthday text omg random,non-flu
2023-06-01,lol just random just just exhausted chills so just exhausted,flu
2023-09-13,allergies maybe? nothing body ache idk bruh bruh,flu
2023-07-24,just is this flu? idk anymore 💯 nothing brunch whatever lol nothing lol tired text,non-flu
2023-09-06,bruh nothing lol nausea idk overthinking not sure if it's flu,flu
2023-04-25,sneeezing 😷 tired af bruh idk,flu
2023-08-12,omg random just random allergies maybe? bruh nausea omg,flu
2023-05-18,idk anymore omg netflix binge so maybe travel party bruh,non-flu
2023-12-27,omg birthday nothing vacation bruh stressed but not sick is this flu? workout,non-flu
2023-11-14,allergies maybe? fever so lol tired af lol,flu
2023-06-04,😷 whatever sickkk whatever idk,flu
2023-08-19,random text fever cough text runny nose,flu
2023-08-01,headache just exhausted whatever omg,flu
2023-07-29,nausea ugh feeling bad random fatigue not sure if it's flu seriously,flu
2023-02-09,not sure if it's flu meh 😷 not sure if it's flu headache bruh nothing just,flu
2023-01-10,so lol meeting so just is this flu? so omg,non-flu
2023-09-09,whatever tired af nausea just fatigue nausea whatever random so allergies maybe?,flu
2023-10-14,just body ache chills lol,flu
2023-12-13,idk seriously 💯 lol 💯 text,non-flu
2023-05-03,birthday so sleep deprived nothing random vacation travel workout,non-flu
2023-04-20,maybe mood swings netflix binge just sleep deprived whatever omg so grind mode idk study grind,non-flu
2023-03-28,allergies maybe? 😷 fatigue so just,flu
2023-01-11,bruh lol bruh grind mode random party nothing party random sleep deprived,non-flu
2023-04-20,runny nose fever bruh idk whatever tired af congestn lol bruh,flu
2023-11-27,birthday coffee time omg so workout travel,non-flu
2023-03-25,nothing birthday mood swings brunch whatever,non-flu
2023-06-17,just omg lol tired just lol tired netflix binge seriously bruh whatever just chilling,non-flu
2023-03-23,😷 text omg nothing just exhausted tired af,flu
2023-10-11,meh fatigue whatever lol text just exhausted,flu
2023-07-06,brunch just chilling omg sleep deprived bruh so text lol tired idk,non-flu
2023-10-05,nothing seriously sleep deprived mood swings bruh lol stressed but not sick whatever whatever,non-flu
2023-11-24,coffee time seriously 🔥 maybe sleep deprived,non-flu
2023-09-12,random sleep deprived just whatever workout so,non-flu
2023-10-25,idk anymore coffee time meeting idk anymore maybe random random,non-flu
2023-02-14,just whatever seriously is this flu? seriously bruh birthday is this flu? stressed but not sick whatever,non-flu
2023-02-10,meh seriously random nothing sickkk fatigue fever just just exhausted idk,flu
2023-05-19,maybe so omg meeting just chilling,non-flu
2023-07-02,sneeezing 😷 chills maybe whatever bruh so maybe text allergies maybe? ugh feeling bad,flu
2023-03-18,bruh birthday whatever random so 🔥 idk travel so,non-flu
2023-01-29,sore throat whatever chills just allergies maybe? chills tired af text whatever,flu
2023-06-21,headache allergies maybe? seriously sickkk seriously idk so fever seriously,flu
2023-02-06,just nothing mood swings party nothing 💯 text lol,non-flu
2023-03-27,just exhausted whatever sore throat lol meh random lol fever whatever nothing,flu
2023-08-15,netflix binge study grind stressed but not sick omg whatever 🔥,non-flu
2023-03-28,just mood swings bruh nothing maybe vacation random workout,non-flu
2023-04-15,lol idk overthinking overthinking,flu
2023-05-25,travel lol travel birthday just chilling lol stressed but not sick,non-flu
2023-02-18,just mood swings just chilling netflix binge 🔥 omg random random,non-flu
2023-02-02,omg random fatigue 😷,flu
2023-09-03,vacation maybe grind mode maybe workout birthday bruh bruh workout,non-flu
2023-05-01,meeting stressed but not sick vacation birthday birthday nothing so,non-flu
2023-08-23,nausea idk whatever congestn nausea so congestn nothing seriously,flu
2023-12-27,sore throat body ache fatigue sickkk runny nose random lol,flu
2023-07-09,mood swings whatever birthday nothing workout idk idk anymore meeting maybe,non-flu
2023-07-09,cough just lol whatever sneeezing,flu
2023-02-03,grind mode omg maybe netflix binge party bruh,non-flu
2023-12-06,just exhausted whatever sore throat ugh feeling bad ugh feeling bad so fatigue random bruh just,flu
2023-05-15,omg just seriously random idk idk brunch 🔥,non-flu
2023-03-09,stressed but not sick lol so random text birthday bruh,non-flu
2023-12-25,seriously maybe text is this flu? 💯,non-flu
2023-09-24,🔥 workout whatever coffee time vacation party whatever,non-flu
2023-05-03,omg 😷 sneeezing sneeezing maybe,flu
2023-03-31,brunch birthday lol lol stressed but not sick,non-flu
2023-08-29,just exhausted bruh sneeezing headache sickkk just body ache,flu
2023-08-04,sneeezing so random random so sneeezing,flu
2023-10-10,workout whatever brunch maybe random lol is this flu? idk workout idk anymore just,non-flu
2023-07-02,maybe text so travel 💯 random workout,non-flu
2023-05-09,maybe body ache lol chills bruh so cough,flu
2023-03-31,omg seriously meh just exhausted whatever bruh sickkk omg,flu
2023-05-16,chills fever omg cough chills just exhausted nothing,flu
2023-01-10,seriously maybe nothing netflix binge travel,non-flu
2023-07-27,sickkk text idk allergies maybe? text random sneeezing overthinking sneeezing idk,flu
2023-06-20,ugh feeling bad idk nothing 😷 just random random lol overthinking meh,flu
2023-11-07,seriously random cough tired af,flu
2023-01-11,travel bruh mood swings just chilling is this flu? text seriously meeting,non-flu
2023-07-05,just omg idk anymore stressed but not sick travel just chilling idk nothing is this flu? lol,non-flu
2023-09-25,omg meh sickkk headache omg sneeezing bruh tired af,flu
2023-08-18,🔥 lol tired party omg text,non-flu
2023-03-23,idk seriously omg bruh birthday lol tired workout,non-flu
2023-05-21,headache sore throat omg chills idk random just whatever,flu
2023-10-20,nothing nothing sleep deprived party nothing grind mode just chilling netflix binge,non-flu
2023-09-26,meh text allergies maybe? maybe not sure if it's flu,flu
2023-10-08,text 😷 just idk sneeezing idk allergies maybe? seriously,flu
2023-12-23,bruh study grind sleep deprived bruh bruh just idk,non-flu
2023-08-30,headache text tired af just maybe headache seriously nothing,flu
2023-05-07,so whatever just ugh feeling bad just exhausted tired af maybe tired af lol text tired af,flu
2023-06-20,omg omg idk vacation 💯 idk anymore party idk anymore random,non-flu
2023-10-10,bruh sickkk headache 😷 runny nose random just exhausted whatever text,flu
2023-08-07,vacation maybe study grind just stressed but not sick seriously seriously maybe,non-flu
2023-05-02,just meh ugh feeling bad maybe allergies maybe? maybe,flu
2023-08-23,maybe 💯 netflix binge so text nothing omg,non-flu
2023-02-13,brunch maybe coffee time whatever vacation random so whatever idk anymore,non-flu
2023-09-27,chills seriously just just nothing headache random body ache,flu
2023-05-27,nothing runny nose text headache nothing nothing random bruh,flu
2023-12-04,nothing workout lol travel omg is this flu? brunch whatever seriously,non-flu
2023-12-10,just fever text bruh idk whatever ugh feeling bad runny nose runny nose,flu
2023-12-19,sore throat idk whatever headache sore throat random body ache,flu
2023-10-31,lol omg 🔥 💯 birthday random maybe,non-flu
2023-09-11,sleep deprived so idk bruh 🔥 so nothing coffee time bruh,non-flu
2023-04-24,meh fever tired af bruh bruh omg random bruh,flu
2023-07-24,random idk sleep deprived meeting idk seriously study grind idk anymore sleep deprived omg,non-flu
2023-05-21,nausea sneeezing random maybe,flu
2023-08-04,nothing meh nothing tired af 😷,flu
2023-01-29,nothing text text so random just exhausted idk overthinking,flu
2023-08-28,lol tired stressed but not sick netflix binge maybe text vacation maybe text,non-flu
2023-09-28,text runny nose not sure if it's flu seriously fever just seriously idk meh seriously,flu
2023-06-04,random whatever text just exhausted whatever fatigue so meh text nausea,flu
2023-02-21,travel coffee time vacation vacation workout maybe text so random seriously nothing,non-flu
2023-04-28,😷 just omg fatigue lol nausea bruh just lol,flu
2023-01-02,sickkk just exhausted maybe just nothing omg fatigue,flu
2023-07-02,stressed but not sick mood swings whatever grind mode text,non-flu
2023-10-28,😷 headache so seriously omg fever so text sneeezing,flu
2023-02-22,netflix binge seriously lol tired bruh,non-flu
2023-04-26,bruh random overthinking omg congestn just tired af just exhausted overthinking just bruh,flu
2023-01-10,workout random idk coffee time omg idk anymore lol,non-flu
2023-02-19,idk netflix binge random mood swings coffee time 💯 bruh mood swings,non-flu
2023-01-05,nothing so netflix binge birthday,non-flu
2023-05-23,😷 meh sickkk lol random ugh feeling bad fatigue lol lol text,flu
2023-02-12,whatever 💯 meeting sleep deprived lol lol,non-flu
2023-04-27,mood swings 🔥 just just seriously netflix binge birthday lol meeting seriously,non-flu
2023-10-12,nothing headache idk nothing sneeezing bruh bruh body ache,flu
2023-08-24,fever nothing tired af 😷 seriously congestn,flu
2023-03-15,omg maybe study grind study grind travel,non-flu
2023-08-01,💯 idk so vacation just just chilling so vacation so vacation,non-flu
2023-06-09,text sleep deprived text coffee time 🔥 brunch,non-flu
2023-01-09,bruh bruh so 😷 seriously sore throat allergies maybe? omg body ache,flu
2023-03-21,headache omg headache so overthinking 😷 nothing maybe,flu
2023-01-27,overthinking headache allergies maybe? just text so just exhausted bruh,flu
2023-06-19,study grind coffee time text study grind seriously travel whatever birthday,non-flu
2023-02-06,lol just exhausted sore throat meh so congestn just exhausted idk bruh just omg,flu
2023-12-24,so random just nausea congestn seriously just,flu
2023-07-30,lol text whatever idk text vacation omg 🔥,non-flu
2023-12-25,seriously stressed but not sick brunch text so vacation idk study grind,non-flu
